cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
10951,C12H16N2O4S,284.33,NA,4,6,FALSE,542-16-5,5313,542165,NA,NA,"Benzenamine, sulfate (2:1)",NA,NA,NA,ACTIVE
61024,C12H24O2,200.32,4.5,0,2,TRUE,109-15-9,2625,109159,NA,NA,"Propanoic acid, 2-methyl-, octyl ester",NA,NA,NA,ACTIVE
32227,C12H18O,178.27,3.1,0,1,TRUE,24142-77-6,22627,24142776,NA,NA,"Benzene, (1-methyl-1-propoxyethyl)-",NA,NA,NA,INACTIVE
10855589,C7H12O3,144.17,1.3,1,3,TRUE,33537-17-6,26531,33537176,NA,NA,"3-Butenoic acid, 2-hydroxy-3-methyl-, ethyl ester",NA,NA,PMN,ACTIVE
14064911,C12H24O2,200.32,2.9,1,2,TRUE,38618-23-4,27824,38618234,NA,NA,"Ethanol, 2-[[5-methyl-2-(1-methylethyl)cyclohexyl]oxy]-",NA,NA,PMN,ACTIVE
8491,C7H6ClNO2,171.58,3.4,0,2,TRUE,121-86-8,3123,121868,NA,NA,"Benzene, 2-chloro-1-methyl-4-nitro-",NA,NA,NA,INACTIVE
138395916,C17H29ClN8O7S2+2,557,NA,4,10,FALSE,154946-66-4,64612,154946664,NA,NA,"Benzenesulfonic acid, 4-chloro-2-[2-[4,5-dihydro-3-methyl-5-oxo-1-(3-sulfophenyl)-1H-pyrazol-4-yl]diazenyl]-5-methyl-, ammonium salt (1:2)",NA,NA,PMN,ACTIVE
101955512,C12H10N3NaO3S,299.28,NA,1,6,FALSE,1325-54-8,8413,1325548,NA,NA,C.I. Direct Orange 39,"This substance is identified in the COLOUR INDEX by Colour Index Constitution Number, C.I. 40215.",NA,NA,ACTIVE
5491096,C30H16CuN10Na2O14S2,914.2,NA,1,21,FALSE,72479-32-4,56408,72479324,NA,NA,"Cuprate(2-), [3-[2-[2-(hydroxy-.kappa.O)-4-hydroxy-5-[2-(4-nitrophenyl)diazenyl]-3-[2-[4-[(4-nitro-2-sulfophenyl)amino]phenyl]diazenyl]phenyl]diazenyl-.kappa.N1]-4-(hydroxy-.kappa.O)-5-nitrobenzenesulfonato(4-)]-, sodium (1:2)",NA,NA,NA,INACTIVE
42963,C14H18N2O5,294.3,-1.6,3,6,TRUE,59160-29-1,31432,59160291,NA,NA,"Glycine, N-(carboxymethyl)-N-[2-[(2,6-dimethylphenyl)amino]-2-oxoethyl]-",NA,NA,NA,INACTIVE
18444,C9H8N2OS,192.24,3,1,3,TRUE,3137-83-5,11246,3137835,NA,NA,"Acetamide, N-(3-isothiocyanatophenyl)-",NA,NA,NA,ACTIVE
67296,C15H24O,220.35,6.2,1,1,FALSE,25154-52-3,23124,25154523,NA,NA,"Phenol, nonyl-",NA,NA,SP,ACTIVE
23688932,C15H23KO,258.44,NA,0,1,FALSE,25154-52-3,23124,25154523,NA,NA,"Phenol, nonyl-",NA,NA,SP,ACTIVE
