cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,casrn,id,casregno,uid,exp,chem_name,def,uvcb,flag,activity
6436082,C20H28O,284.4,6.2,0,1,FALSE,514-85-2,4775,514852,NA,NA,"Retinal, 9-cis-",NA,NA,NA,INACTIVE
67034,C18H16N4O7S2,464.5,0.9,4,10,TRUE,117-88-4,2930,117884,NA,NA,"1,5-Naphthalenedisulfonic acid, 3-[2-[2-(acetylamino)-4-aminophenyl]diazenyl]-",NA,NA,NA,INACTIVE
6734,C12H10,154.21,3.9,0,0,TRUE,83-32-9,1119,83329,NA,NA,"Acenaphthylene, 1,2-dihydro-",NA,NA,NA,ACTIVE
69022,C2H4ClNO,93.51,-0.1,1,1,FALSE,598-49-2,5875,598492,NA,NA,"Acetamide, N-chloro-",NA,NA,NA,INACTIVE
16211801,C8H13ClO3,192.64,NA,1,3,FALSE,25086-48-0,23028,25086480,NA,NA,"Acetic acid ethenyl ester, polymer with chloroethene and ethenol",NA,NA,XU,ACTIVE
76208,C10H14Cl2O4,269.12,3.8,0,4,TRUE,2916-24-7,10632,2916247,NA,NA,"Carbonochloridic acid, C,C'-[1,4-cyclohexanediylbis(methylene)] ester",NA,NA,NA,INACTIVE
44148792,C29H36MoN2O10Si,696.6,NA,3,11,FALSE,102082-92-8,61780,102082928,NA,NA,"Xanthylium, 3,6-bis(diethylamino)-9-[2-(methoxycarbonyl)phenyl]-, molybdatesilicate",NA,NA,PMN,ACTIVE
117737,C3H8ClNO2S,157.62,0.9,1,3,TRUE,26118-67-2,23809,26118672,NA,NA,"Sulfamoyl chloride, N-(1-methylethyl)-",NA,NA,NA,INACTIVE
161995,FeKO2,126.94,NA,0,2,FALSE,12160-44-0,17944,12160440,NA,NA,Iron potassium oxide (Fe11KO17),NA,NA,NA,ACTIVE
6437427,C30H56O4,480.8,12.5,0,4,FALSE,61791-92-2,32299,61791922,NA,NA,"2-Butenedioic acid (2Z)-, 1,4-ditridecyl ester",NA,NA,NA,ACTIVE
9828,C8H7FO,138.14,1.7,0,2,TRUE,403-42-9,4290,403429,NA,NA,"Ethanone, 1-(4-fluorophenyl)-",NA,NA,NA,ACTIVE
176320,C61H118ClN,901,NA,0,1,FALSE,68213-97-8,41075,68213978,NA,NA,"Benzenemethanaminium, N,N,N-trioctadecyl-, chloride (1:1)",NA,NA,NA,INACTIVE
44145438,C20H25N3O3S,387.5,NA,0,5,FALSE,71173-70-1,54117,71173701,NA,NA,"3H-Indolium, 1,3,3-trimethyl-2-[(2-methyl-2-phenylhydrazinylidene)methyl]-, methanesulfonate (1:1)",NA,NA,NA,INACTIVE
28310,C10H12O3,180.2,1.9,1,3,TRUE,17138-28-2,20541,17138282,NA,NA,"Benzeneacetic acid, 4-hydroxy-, ethyl ester",NA,NA,NA,INACTIVE
81646,C6H12N2O,128.17,-0.1,0,1,TRUE,7226-23-5,14780,7226235,NA,NA,"2(1H)-Pyrimidinone, tetrahydro-1,3-dimethyl-",NA,NA,PMN; S,ACTIVE
3085698,C8H6N4O4S4,350.4,3.9,0,10,TRUE,72076-56-3,55514,72076563,NA,NA,"Thiazole, 2,2'-dithiobis[4-methyl-5-nitro-",NA,NA,NA,INACTIVE
8396,C12H16O,176.25,4.1,1,1,TRUE,119-42-6,2998,119426,NA,NA,"Phenol, 2-cyclohexyl-",NA,NA,NA,ACTIVE
173086,C20H31ClO8,434.9,NA,2,8,FALSE,68845-03-4,48235,68845034,NA,NA,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, chloroethene, ethenyl acetate and 2-propenoic acid",NA,NA,XU,INACTIVE
6441668,C28H20N2O6,480.5,5.1,0,8,FALSE,51202-86-9,29162,51202869,NA,NA,"5(4H)-Oxazolone, 2,2'-(1,4-phenylene)bis[4-[(4-methoxyphenyl)methylene]-",NA,NA,NA,ACTIVE
170995,C28H20N2O6,480.5,5.1,0,8,FALSE,51202-86-9,29162,51202869,NA,NA,"5(4H)-Oxazolone, 2,2'-(1,4-phenylene)bis[4-[(4-methoxyphenyl)methylene]-",NA,NA,NA,ACTIVE
5750518,C28H20N2O6,480.5,5.1,0,8,FALSE,51202-86-9,29162,51202869,NA,NA,"5(4H)-Oxazolone, 2,2'-(1,4-phenylene)bis[4-[(4-methoxyphenyl)methylene]-",NA,NA,NA,ACTIVE
172848,C38H33CrN8O6,749.7,NA,1,12,FALSE,71598-32-8,54792,71598328,NA,NA,"Chromate(1-), bis[2-[2-[1-(2-ethylphenyl)-4,5-dihydro-3-methyl-5-(oxo-.kappa.O)-1H-pyrazol-4-yl]diazenyl-.kappa.N1]benzoato(2-)-.kappa.O]-, hydrogen (1:1)",NA,NA,NA,INACTIVE
120039,C16H20O3S,292.4,4.2,1,3,TRUE,28757-00-8,25156,28757008,NA,NA,"Naphthalenesulfonic acid, bis(1-methylethyl)-",NA,NA,NA,ACTIVE
6455604,C17H26O8,358.4,NA,0,8,FALSE,67859-83-0,37132,67859830,NA,NA,"2-Butenedioic acid (2Z)-, 1,4-dimethyl ester, polymer with butyl 2-propenoate and ethenyl acetate",NA,NA,XU,ACTIVE
80905,C42H25N7Na4O13S4,1055.9,NA,2,20,FALSE,6428-60-0,14296,6428600,NA,NA,"2-Naphthalenesulfonic acid, 5-[2-[1-hydroxy-6-(phenylamino)-3-sulfo-2-naphthalenyl]diazenyl]-8-[2-[6-sulfo-4-[2-(3-sulfophenyl)diazenyl]-1-naphthalenyl]diazenyl]-, sodium salt (1:4)",NA,NA,NA,ACTIVE
67935,C7H3F9O6Si,382.17,NA,0,15,FALSE,429-72-1,4346,429721,NA,NA,"Acetic acid, 2,2,2-trifluoro-, 1,1',1''-(methylsilylidyne) ester",NA,NA,NA,INACTIVE
31252,C6H8N2,108.14,0.6,0,2,TRUE,123-32-0,3217,123320,NA,NA,"Pyrazine, 2,5-dimethyl-",NA,NA,NA,ACTIVE
103366,C18H31N,261.4,6.9,0,1,FALSE,65355-36-4,34960,65355364,NA,NA,"[1,1'-Bicyclohexyl]-4-carbonitrile, 4'-pentyl-, (trans,trans)-",NA,NA,NA,ACTIVE
13551,C4H10O3S,138.19,0.4,0,3,TRUE,926-06-7,7417,926067,NA,NA,"Methanesulfonic acid, 1-methylethyl ester",NA,NA,NA,INACTIVE
88641,Ag2H2O,233.752,NA,1,1,FALSE,20667-12-3,21613,20667123,NA,NA,Silver oxide (Ag2O),NA,NA,NA,ACTIVE
6441129,C42H82N4O4,707.1,NA,6,8,FALSE,66085-55-0,35615,66085550,NA,NA,"9,12-Octadecadienoic acid (9Z,12Z)-, dimer, polymer with N1,N2-bis(2-aminoethyl)-1,2-ethanediamine",NA,NA,XU,INACTIVE
23686427,C7H7NaO5S,226.18,NA,2,5,FALSE,4445-76-5,12546,4445765,NA,NA,"Benzenemethanesulfonic acid, .alpha.,2-dihydroxy-, sodium salt (1:1)",NA,NA,NA,INACTIVE
67646,C15F33N,821.11,11.9,0,34,FALSE,338-84-1,4126,338841,NA,NA,"1-Pentanamine, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N,N-bis(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)-",NA,NA,NA,ACTIVE
169778,C24H50N2O4,430.7,NA,4,6,FALSE,36497-34-4,27252,36497344,NA,NA,"Dodecanedioic acid, polymer with 1,12-dodecanediamine",NA,NA,PMN; XU,ACTIVE
3085785,C12H15N,173.25,3.2,0,1,TRUE,72269-54-6,56102,72269546,NA,NA,"Benzeneacetonitrile, 2-(1,1-dimethylethyl)-",NA,NA,NA,INACTIVE
45933661,F6NO2P,190.97,NA,0,9,FALSE,19200-21-6,21246,19200216,NA,NA,"Phosphate(1-), hexafluoro-, nitryl (1:1)",NA,NA,NA,INACTIVE
91859,C7H7ClN4O,198.61,0.1,1,2,TRUE,56433-30-8,30695,56433308,NA,NA,"[1,2,4]Triazolo[1,5-a]pyrimidin-7(1H)-one, 2-(chloromethyl)-5-methyl-",NA,NA,NA,INACTIVE
171688,C26H38O,366.6,NA,1,1,FALSE,65733-79-1,35172,65733791,NA,NA,"Phenol, polymer with 1-methyl-4-(1-methylethenyl)cyclohexene and 2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",NA,NA,XU,ACTIVE
90702,C22H24N2O4,380.4,3.8,3,6,TRUE,25061-50-1,22959,25061501,NA,NA,"9,10-Anthracenedione, 1-amino-4-(cyclohexylamino)-2-(2-hydroxyethoxy)-",NA,NA,NA,INACTIVE
23688950,C9H11LiO6S,254.2,NA,2,6,FALSE,32014-19-0,26190,32014190,NA,NA,"Benzenesulfonic acid, 4-(2,3-dihydroxypropoxy)-, lithium salt (1:1)",NA,NA,NA,INACTIVE
16875,C12H25Cl,204.78,6.3,0,0,FALSE,2350-11-0,9882,2350110,NA,NA,"Dodecane, 2-chloro-",NA,NA,NA,INACTIVE
44147563,C22H30O6,390.5,NA,0,6,FALSE,193486-91-8,65807,193486918,NA,NA,"2-Butenedioic acid (2E)-, 1,4-bis(1-methylethyl) ester, polymer with ethenyl acetate and ethenylbenzene",NA,NA,PMN; XU,INACTIVE
1540619,C6H8N2O2S,172.21,0.2,2,3,TRUE,42039-81-6,28570,42039816,NA,NA,"4,6(1H,5H)-Pyrimidinedione, 5-ethyldihydro-2-thioxo-",NA,NA,NA,INACTIVE
174909,C17H10Cl2N2O3,361.2,5.9,2,5,FALSE,72121-71-2,55608,72121712,NA,NA,"2-Naphthalenecarboxylic acid, 4-[2-(2,3-dichlorophenyl)diazenyl]-3-hydroxy-",NA,NA,NA,INACTIVE
65207,C30H36N2O7S,568.7,NA,2,8,FALSE,26694-69-9,24225,26694699,NA,NA,"Xanthylium, 9-[2-(ethoxycarbonyl)phenyl]-3,6-bis(ethylamino)-2,7-dimethyl-, ethyl sulfate (1:1)",NA,NA,PMN; S,ACTIVE
161651,C2H10NO5P,159.08,NA,5,6,FALSE,29868-05-1,25583,29868051,NA,NA,"Ethanol, 2-amino-, phosphate (1:?)",NA,NA,NA,ACTIVE
138401301,C12H24Au3CrN12,979.3,NA,6,18,FALSE,67989-91-7,38307,67989917,NA,NA,"Chromium(3+), tris(1,2-ethanediamine-.kappa.N1,.kappa.N2)-, (OC-6-11)-, bis(cyano-.kappa.C)aurate(1-) (1:3)",NA,NA,NA,INACTIVE
138395804,C8H8Cl3N3O2Zn,349.9,NA,1,4,FALSE,72139-05-0,55660,72139050,NA,NA,"Benzenediazonium, 5-(aminocarbonyl)-2-methoxy-, trichlorozincate(1-) (1:1)",NA,NA,NA,INACTIVE
76179,C8H20O4P2S4,370.5,4.7,0,8,TRUE,2901-90-8,10606,2901908,NA,NA,"Thioperoxydiphosphoric acid ([(HO)2P(S)]2S2), OP,OP,OP',OP'-tetraethyl ester",NA,NA,NA,INACTIVE
106833,C40H80O3,609.1,17.6,1,3,FALSE,67801-69-8,36814,67801698,NA,NA,"Docosanoic acid, 9-hydroxyoctadecyl ester",NA,NA,NA,INACTIVE
19262,C10H8N2O2,188.18,3.4,0,4,TRUE,3634-83-1,11796,3634831,NA,NA,"Benzene, 1,3-bis(isocyanatomethyl)-",NA,NA,PMN,ACTIVE
168326,C19H23NO2,297.4,NA,1,3,FALSE,25214-09-9,23189,25214099,NA,NA,"2-Propenoic acid, 2-methyl-, polymer with 1,3-butadiene, ethenylbenzene and 2-propenenitrile",NA,NA,XU,ACTIVE
138394069,CrMoO12Pb3S,990,NA,0,12,FALSE,12656-85-8,17272,12656858,NA,NA,C.I. Pigment Red 104,"This substance is identified in the COLOUR INDEX by Colour Index Constitution Number, C.I. 77605.",NA,SP,ACTIVE
174661,C33H48O16,700.7,NA,10,16,FALSE,87871-69-0,60473,87871690,NA,NA,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 2,2-dimethyl-1,3-propanediol, hexanedioic acid and 1,6-hexanediol",NA,NA,PMN; XU,ACTIVE
10378,C8H7NO3,165.15,0.8,2,3,TRUE,500-72-1,4639,500721,NA,NA,"Acetic acid, 2-oxo-2-(phenylamino)-",NA,NA,NA,INACTIVE
34237,C32H20Cu2N6Na4O16S4,1091.9,NA,6,22,FALSE,28407-37-6,25009,28407376,NA,NA,"Cuprate(4-), [.mu.-[[3,3'-[[3,3'-di(hydroxy-.kappa.O)[1,1'-biphenyl]-4,4'-diyl]bis(2,1-diazenediyl-.kappa.N1)]bis[5-amino-4-(hydroxy-.kappa.O)-2,7-naphthalenedisulfonato]](8-)]]di-, sodium (1:4)",NA,NA,NA,ACTIVE
105734,C18H28N2O4,336.4,4.8,0,5,TRUE,67828-50-6,36961,67828506,NA,NA,"Pyrrolidine, 1-(2,5-dibutoxy-4-nitrophenyl)-",NA,NA,NA,INACTIVE
79490,C8H7NO4,181.15,0.8,3,5,TRUE,5434-20-8,13300,5434208,NA,NA,"1,2-Benzenedicarboxylic acid, 3-amino-",NA,NA,NA,INACTIVE
6451513,C12H27AlO3,246.32,NA,0,3,FALSE,3085-30-1,11182,3085301,NA,NA,"1-Butanol, aluminum salt (3:1)",NA,NA,NA,ACTIVE
90474792,C21H18Cl2N4O7,509.3,NA,3,9,FALSE,68214-61-9,41129,68214619,NA,NA,"1,3'-Bipyridinium, 5'-[2-(2,5-dichlorophenyl)diazenyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-, 2-hydroxybutanedioate (1:1)",NA,NA,NA,INACTIVE
71439744,C21H18Cl2N4O7,509.3,NA,3,9,FALSE,68214-61-9,41129,68214619,NA,NA,"1,3'-Bipyridinium, 5'-[2-(2,5-dichlorophenyl)diazenyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-, 2-hydroxybutanedioate (1:1)",NA,NA,NA,INACTIVE
109228,C21H18Cl2N4O7,509.3,NA,4,9,FALSE,68214-61-9,41129,68214619,NA,NA,"1,3'-Bipyridinium, 5'-[2-(2,5-dichlorophenyl)diazenyl]-1',2'-dihydro-6'-hydroxy-4'-methyl-2'-oxo-, 2-hydroxybutanedioate (1:1)",NA,NA,NA,INACTIVE
102870,C6H8O3S,160.19,0.5,0,4,TRUE,2689-69-2,10383,2689692,NA,NA,"2-Thiophenecarboxylic acid, tetrahydro-3-oxo-, methyl ester",NA,NA,NA,INACTIVE
6537979,C3H5Cl3Si,175.51,NA,0,0,FALSE,18083-37-9,20877,18083379,NA,NA,"Silane, trichloro-1-propen-1-yl-",NA,NA,NA,INACTIVE
163241,C32H16CrN6Na3O14S2,893.6,NA,0,19,FALSE,68541-70-8,45202,68541708,NA,NA,"Chromate(3-), bis[4-(hydroxy-.kappa.O)-3-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-1-naphthalenesulfonato(3-)]-, sodium (1:3)",NA,NA,NA,ACTIVE
6336912,PrSi2,197.08,NA,0,0,FALSE,12066-83-0,17803,12066830,NA,NA,Praseodymium silicide (PrSi2),NA,NA,NA,INACTIVE
4284,C12H17NO,191.27,2,0,1,TRUE,134-62-3,1040,134623,NA,NA,"Benzamide, N,N-diethyl-3-methyl-",NA,NA,NA,ACTIVE
86664,C4H8Cl4Si,226,NA,0,0,FALSE,18142-53-5,20901,18142535,NA,NA,"Silane, trichloro(3-chloro-2-methylpropyl)-",NA,NA,NA,INACTIVE
76968,C6H16N2,116.2,0.2,2,2,TRUE,3437-23-8,11607,3437238,NA,NA,"1,2-Ethanediamine, N1-(2-methylpropyl)-",NA,NA,NA,INACTIVE
61235,C9H18O,142.24,2.8,0,1,TRUE,925-78-0,7413,925780,NA,NA,3-Nonanone,NA,NA,NA,ACTIVE
74308,C16H13N3O8S2,439.4,1.6,5,11,FALSE,15475-84-0,19795,15475840,NA,NA,"2,7-Naphthalenedisulfonic acid, 3-[2-(4-aminophenyl)diazenyl]-4,5-dihydroxy-",NA,NA,NA,INACTIVE
65221,C22H19ClN2O7,458.8,NA,3,8,FALSE,62669-77-6,32612,62669776,NA,NA,"Xanthylium, 9-(2-carboxyphenyl)-3,6-bis(methylamino)-, perchlorate (1:1)",NA,NA,NA,INACTIVE
14915012,CH2KN5,123.16,NA,1,5,FALSE,136369-04-5,63676,136369045,NA,NA,"2H-Tetrazol-5-amine, potassium salt (1:1)",NA,NA,PMN,ACTIVE
