Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
Diethyl butanedioate,CCOC(=O)CCC(=O)OCC,C8H14O4,174.0892089,174.19,0.778,"41.00219,9.43323621571107;43.01784,63.0366664834259;83.01276,21.2522676048595;85.02841,6.91550766862734;87.04406,44.4285635753944;101.02332,52.5589577263482;101.05971,99.4722665054148;103.03897,23.7260183607278;129.05462,100;131.07027,14.3807377274476;133.08592,5.71161563410478;45.03349,45.3795833104282;47.04914,56.7368478918146;55.01784,43.2961354515969;57.03349,40.2341817382222;59.04914,30.9933483590787;73.02841,98.9280413391237;75.04406,15.6560936726953;99.04406,21.0983453356055;103.07536,9.71359463470947;111.04406,20.8894508273322;113.05971,13.7045791875103;147.06519,12.555659392007;44.99711,11.4067395965038;61.02841,11.0274311472706;71.01276,15.6396020009895;71.04914,10.5381782199989;89.05971,8.94398328843934","41.00329,69.4099467750243;45.03459,38.4879528415269;59.01385,58.5989812854118;85.0295,100;87.04515,10.1012991472558;101.0608,18.3654781663137;155.07137,10.2157614605391;55.01894,71.0124191609912;71.01385,39.7241458249871;73.0295,42.5399187317576;83.01385,21.8165169118068;96.99312,7.31414181880616;99.00877,17.0377153322269;101.02442,28.346591884622;127.04007,24.2889028787272;57.03459,51.2104389629714;68.9982,13.0315343673096;69.03459,24.3690264980255;129.05572,32.1868024952784",123-25-1,EPAPLT0060,DTXSID2038732,,
Pymetrozine,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2,C10H11N5O,217.09636,217.23,0.162,"105.04472,100;0.42559,0.131572487371949;78.03383,26.1766510881367;92.04948,32.2050701033848;107.06037,14.8892980219988;120.05562,6.60907331350611;65.03858,4.63579285275929;66.03383,2.30845489307464;69.04472,2.14794882688949;80.04948,3.51225038946325;132.05562,2.53033092574234;134.07127,5.11259028466223","69.04582,37.925;97.04074,74.26;0.0090726,0.0033441;41.99854,100;92.05057,26.425;105.04582,16.1;110.03599,6.95;112.05164,7.305;120.05672,12.025;146.03599,5.435;57.00944,4.09;67.03017,2.78;78.03492,10.05;80.01419,2.78;103.03017,8.015;132.05672,2.985;214.07343,3.105",123312-89-0,EPAPLT0066,DTXSID2032637,,
Hydroquinone,C1=CC(=CC=C1O)O,C6H6O2,110.0367794,110.11,0.654,"83.04914,28.635;65.03858,100;39.02293,9.63;55.01784,7.41;63.02293,23.115;81.03349,10.355","107.01385,4.61;41.00329,100;53.00329,53.06;55.01894,23.31;77.00329,21.7",123-31-9,EPAPLT0063,DTXSID7020716,,
Maleic hydrazide,C1=CC(=O)NNC1=O,C4H4N2O2,112.0272774,112.09,0.19,"85.03964,7.13;39.02293,82.67;41.00219,44.9;53.00219,100;55.01784,78.15;59.02399,23.86","41.99854,100;53.00329,10.9588441330998;55.01894,17.2854640980736",123-33-1,EPAPLT0065,DTXSID9020792,,
Pyrithiobac,COC1=CC(=NC(=N1)SC2=C(C(=CC=C2)Cl)C(=O)O)OC,C13H11ClN2O4S,326.0128057,326.76,1.118,"139.0502,19.0492499486266;309.00952,94.6640180834304;0.019842,0.0130221248030687;170.96659,100;188.97715,37.9889033495445;82.995,7.04157819028701;83.02399,17.4737995753134;98.9996,8.45948352626892;109.03964,12.4049592437838;114.05495,7.49366394958559;128.95603,11.2267963559148;138.99452,7.55531200767176;195.96184,36.5025001712446;197.03792,10.5281183642715;213.9724,41.1192547434756;215.98805,10.6514144804439;243.0434,8.00739776697034;247.05358,11.8980752106309;251.00404,13.5762723474211;253.01969,7.0621275429824;256.97822,7.6854579080759;266.99895,55.7983423522159;278.99895,13.6036714843482;281.0146,26.7004589355435;282.99387,12.7474484553737;310.98878,17.2751558325913;325.00443,7.6786081238441","281.0157,43.4280639431616;34.9694,96.9360568383659;142.97277,100",123342-93-8,EPAPLT0067,DTXSID8032673,Pyrithiobac sodium,123343-16-8
Myrcene,CC(=CCCC(=C)C=C)C,C10H16,136.1252005,136.23,4.17,"55.05423,78.9275217656518;65.03858,31.5089003493595;69.06988,22.8913658293129;79.05423,100;81.06988,83.2640159707203;83.08553,20.052126656685;95.08553,17.3404314312649;41.03858,38.4739089447125;67.05423,45.9324571618699;53.03858,55.4538900903898;77.03858,18.6657794044252;93.06988,9.41052514833915","109.10227,4.37;119.08662,32.13;51.02402,17.11;63.02402,23.04;65.03967,100;67.05532,16.76;79.05532,24.77;91.05532,23.29;93.07097,24.1",123-35-3,EPAPLT0064,DTXSID6025692,,
3-Methylbutyl acetate,CC(C)CCOC(=O)C,C7H14O2,130.0993797,130.18,2.099,"43.01784,59.59;43.05423,66.22;69.06988,19.76;71.08553,100;55.05423,83.04;41.03858,50","59.01385,100;87.08154,4.32666666666667;41.00329,15.4233333333333",123-92-2,EPAPLT0064,DTXSID9025453,,
SSR241586 pharma  free base,CN(C)C(=O)C1(CCN(CC[C@]2(CN(CCO2)C(=O)C2=CC=CC=C2)C2=CC=C(Cl)C(Cl)=C2)CC1)N1CCCCC1,C32H42Cl2N4O3,600.2633966,601.6,2.455,"516.18152,91.8995108199983;1.2191,0.642517204211923;72.04439,16.0434458170964;86.09643,23.2733604178758;105.03349,30.279412983998;146.06004,3.54862780863942;165.10224,4.17046679379819;167.11789,3.05944780698118;169.13354,2.94337119641821;362.07091,80.4576734930769;412.15531,3.35793051985739;443.12876,24.4838736423182;445.14441,18.7380814194511;471.12367,30.6276428156869;473.13932,45.4025371030595;522.22847,6.40908714036979;528.21791,100;530.23356,39.0597794544399;556.21282,25.22178923804;79.05423,12.7933007213332;126.12773,17.784594975541;179.15428,11.9641820744549;181.16993,14.7500207279662;193.16993,24.1688085565044;195.14919,13.4400132658984;195.18558,24.8238122875383;364.08656,20.1061271868004;366.10221,15.6040129342509;382.2489,12.378741397894;474.17096,11.7237376668601;475.15497,29.7487770499959;477.17062,11.3008871569522;492.24123,11.8978525827046;494.25688,11.077025122295;518.19717,18.0830776884172;526.20226,22.6349390597795;0.17582,0.142019733023796;545.20807,17.9918746372606;559.22372,11.1350634275765","34.9694,100;382.25,20.5046841946207;434.17714,2.43275914173466;492.24233,17.7621637957087;520.23724,2.03233605318827;526.20336,37.5339981867634;553.21426,3.55092172861892;554.19827,18.2079177999396;555.22991,2.72741009368389;556.21392,8.29555757026292;557.24556,3.67180417044424;563.27944,4.23844061650045;569.24556,2.05500151103052;573.24047,3.30915684496827;581.24556,9.64792988818374;597.24047,3.43759443940768;41.99854,2.30432154729526;44.05057,3.95134481716531;56.01419,2.28165608945301;77.03967,10.403445149592;173.10842,2.27410093683892;181.13464,2.65185856754306;183.15029,2.87095799335147;187.12407,7.36627379873073;193.17102,5.84013297068601;330.00941,2.97673012994862;332.02506,6.46721063765488;334.04071,26.5034753702025;348.05636,2.12299788455727;350.07201,3.83801752795407;367.13494,8.59020852221215;370.21362,2.97673012994862;380.23435,13.7352674524025;422.17714,2.94650951949229;424.19279,2.1078875793291;443.12986,5.80991236022968;445.14551,4.56331217890601;500.15132,2.79540646721064;514.16697,3.11272287700212;516.18262,4.43487458446661;522.17206,3.34693260803868;524.18771,5.51526140828045;528.21901,12.413115744938",1239279-30-1,EPAPLT0067,DTXSID2047353,SSR 241586 HCl,NOCAS_47353
Hexanedioic acid,C(CCC(=O)O)CC(=O)O,C6H10O4,146.0579088,146.14,0.006,"55.05423,100;83.04914,45.2418350213941;85.02841,33.613172290527;85.06479,28.511076206467;101.05971,67.2642582462222;111.04406,43.075339868927;129.05462,66.6305584141256;41.03858,80.723609380924;44.99711,27.1136868331257;59.04914,39.619780100742;69.03349,16.6386827709473;87.04406,17.9602448139522;45.03349,13.529762227157;53.00219,12.3002762281319;55.01784,23.441477549694;71.01276,17.9277473866652","101.0608,56.64;83.05024,100;41.00329,20.29;44.9982,16.085;59.01385,41.585;71.01385,15.36;79.01894,7.9;81.03459,22.21",124-04-9,EPAPLT0061,DTXSID7021605,,
Octanoic acid,CCCCCCCC(=O)O,C8H16O2,144.1150297,144.21,3.018,"41.03858,84.5131428086118;43.05423,51.1614081277337;55.05423,100;57.03349,51.9852223024332;57.06988,94.9551997961697;69.06988,32.1669709966453;71.04914,32.7190114229904;75.04406,60.129941823432;85.10118,8.92606904751794;89.05971,27.7931122340651;127.11174,9.29126502186929;71.08553,12.6162469743938;39.02293,4.87494161110875;55.01784,9.21907511996263","99.11792,12.54;97.10227,5.82;41.00329,7.16;44.9982,100;51.02402,5.1;53.00329,7.75;67.01894,14.06;67.05532,6.2;71.01385,5.09;81.03459,7.38;95.05024,11.51;107.08662,9.25;109.06589,5.8;125.09719,8.36",124-07-2,EPAPLT0070,DTXSID3021645,,
Octanal,CCCCCCCC=O,C8H16O,128.1201151,128.21,3.432,"41.03858,100;43.05423,66.7700805871893;55.05423,87.9573228406038;57.06988,83.4739510423367;59.04914,15.6066739813098;69.06988,47.5956263478491;81.06988,14.2711210321214;111.11683,10.7109076463244;71.08553,8.96296016041769;57.03349,10.0601566342552","99.11792,12.05;95.08662,10.4;97.10227,9.17;109.10227,20.99;41.00329,100;43.01894,41.8;51.02402,17.44;53.03967,20.64;55.01894,62.27;57.03459,22.16;65.03967,11.86;67.01894,20.38;67.05532,28.81;69.03459,14.66",124-13-0,EPAPLT0066,DTXSID3021643,,
Decane,CCCCCCCCCC,C10H22,142.1721507,142.28,6.03,"43.05423,57.99;57.06988,85.97;71.08553,100;73.10118,25.82;85.10118,28.205;87.11683,15.69;41.03858,44.405","139.14922,39.8773006134969;53.03967,60.1840490797546;57.07097,62.8220858895706;67.05532,69.2024539877301;69.07097,55.2453987730061;71.08662,100;85.10227,44.079754601227;111.11792,47.1472392638037;113.13357,50.5521472392638;125.13357,66.6257668711656",124-18-5,NA,NA,,
Dodecylamine,CCCCCCCCCCCCN,C12H27N,185.2143499,185.35,5.336,"43.05423,66.1932711455822;57.06988,100;60.08078,22.3142228277958;71.08553,42.600356356776;72.08078,29.483282674772;74.09643,10.8898438318835;85.10118,14.799287286448;86.09643,4.33392726129336;88.11208,4.7112462006079;113.13248,4.22387590399329;114.12773,2.82465150403522;116.14338,5.63882192642281;130.15903,3.19672990252594;55.05423,37.2025993082486;58.06513,42.9724347552667;69.06988,10.5858924641023;83.08553,10.3081438004402;111.11683,7.15857876532858;128.14338,5.41347867099885;41.03858,26.653390629913;44.04948,19.9612199979038","182.19142,42.1497584541063;42.03492,81.4975845410628;53.03967,30.3381642512077;56.05057,20.1932367149758;57.07097,76.8115942028986;67.05532,54.2753623188406;70.06622,21.4251207729469;71.08662,100;85.10227,28.2850241545894;97.10227,22.43961352657;99.11792,45.6280193236715;111.11792,32.7294685990338;112.11317,34.0821256038647;114.12882,19.3961352657005;125.13357,27.4154589371981;126.12882,50.024154589372;127.14922,52.1980676328502;128.14447,24.2512077294686;139.14922,21.7632850241546;140.14447,22.3429951690821;142.16012,18.8647342995169",124-22-1,NA,NA,,
Enadoline (pharma),CN(C1CCC2(CCCO2)CC1N3CCCC3)C(=O)CC4=C5C=COC5=CC=C4,C24H32N2O3,396.2412929,396.5,2.271,"208.16959,35.5519348268839;70.06513,19.8044806517312;72.08078,14.9735234215886;84.08078,27.0386965376782;96.08078,6.64765784114053;98.09643,24.5213849287169;131.04914,100;133.06479,18.3951120162933;137.09609,5.40936863543788;210.18524,11.4786150712831;237.19614,10.4928716904277;239.21179,8.08961303462322;265.19105,5.10794297352342;273.15975,3.22606924643585;279.2067,5.42566191446029;300.15942,20.3258655804481;302.17507,7.64969450101833;326.17507,4.74134419551935;355.20162,3.86150712830957;357.21727,2.68839103869654;365.22235,2.76171079429735;369.25365,2.63951120162933;379.238,20.1303462321792;395.23292,8.29327902240326;0.25018,0.111380855397149;63.02293,4.06517311608961;72.04439,4.13034623217923;74.06004,4.71690427698574;82.06513,2.71283095723014;85.06479,5.38492871690428;91.01784,4.28513238289206;99.08044,3.21792260692464;103.05423,9.09164969450102;111.08044,10.9327902240326;112.07569,2.35437881873727;119.04914,2.4928716904277;135.08044,7.64969450101833;148.07569,7.18533604887984;157.02841,4.35845213849287;172.07569,2.54175152749491;174.09134,3.68228105906314;190.08626,3.47046843177189;216.10191,2.79429735234216;327.2067,2.40325865580448","117.03459,24.1891015244891;131.05024,39.4096659098281;157.0295,21.6023353876095;206.15504,6.38177100227052;208.17069,3.48686344469672;235.18159,6.81154719429128;237.19724,5.36814790788193;377.22345,3.31657476483944;393.21837,100;41.00329,2.18131689912423;58.02984,6.21148232241323;72.04549,8.69283165747649;96.08187,3.99772948426857;98.06114,2.20564385338956;103.05532,4.84106389879987;133.0295,4.33830684398313;137.09719,2.1488809601038;141.03459,12.1067142393772;159.04515,11.6201751540707;164.10809,9.59292896529355;168.13939,2.09211806681803;186.05605,3.85987674343172;188.0717,2.30295167045086;198.09244,2.31106065520597;263.1765,3.30035679532922;298.14487,6.85209211806682;302.17617,2.14077197534869;312.16052,13.7204022056439;314.17617,6.29257216996432;339.17142,3.89231268245216;375.2078,4.31397988971781;379.20272,4.3058709049627",124378-77-4,EPAPLT0070,DTXSID4047258,Enadoline,124378-77-4
Quinoxyfen,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,C15H8Cl2FNO,306.9966974,308.1,2.452,"279.97267,0.065402223675605;280.99307,0.287769784172662;213.9821,100;273.9821,31.2230215827338;281.98832,40.9025506867234;305.98832,82.1713538260301","279.97377,0.564677265224568;235.96754,100;211.96754,31.6914255929111",124495-18-7,EPAPLT0060,DTXSID2034881,,
Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,394.1791667,394.4,0.669,"315.15909,74.9246575342466;357.16965,91.5821917808219;359.16531,52.2123287671233;375.18022,59.9109589041096;377.17588,70.4383561643836;41,98.6301369863014;43.01784,48.1506849315069;107.04914,64.4178082191781;109.06479,16.8287671232877;119.04914,82.1986301369863;121.06479,74.2123287671233;129.09101,17.6438356164384;165.05462,11.5479452054795;177.07102,29.3219178082192;179.08667,52.2739726027397;181.10232,16.5342465753425;189.09101,14;205.06593,13.2191780821918;207.08158,11.2123287671233;209.09723,15.7123287671233;259.11288,12.5205479452055;289.14458,18.3835616438356;317.15475,17.8493150684931;317.17474,43.8630136986301;319.1704,49.1780821917808;319.19039,44.9452054794521;321.18605,13.1643835616438;335.16531,58.7397260273973;337.18096,68.4931506849315;365.17588,11.7191780821918;367.19153,21.9041095890411;34,100;0.13398,0.0813082191780822;73.02841,13.2260273972603;77.03858,20.2739726027397;79.05423,30.6438356164384;91.05423,14.3972602739726;93.06988,14.3424657534247;95.04914,11.9931506849315;105.06988,15.2191780821918;119.03389,10.9109589041096;131.04914,11.7808219178082;133.06479,35.486301369863;135.08044,43.2397260273973;157.10232,20.1917808219178;159.11797,18.7602739726027;199.0765,34.2602739726027;213.09215,61.7808219178082;223.11288,16.3835616438356;225.12853,13.486301369863;245.11836,16.0342465753425;261.11328,35.9041095890411;261.12853,20.2465753424658;263.14418,13.2191780821918;265.15983,11.4041095890411;273.12853,11.1301369863014;275.12893,26.7054794520548;277.15983,14.3424657534247;279.17548,11.1780821917808;333.14966,12.6849315068493","335.16641,100;345.15076,13.5247582771755;363.16133,5.1801933782596;375.16133,20.0644594198652;315.1402,16.987987108116;315.16018,65.0161148549663;317.15585,50.8174626428362;331.13511,15.5581599765602;333.15076,59.419865221213;361.14568,5.79548784060944;41.00329,14.8666861998242;56.9982,8.8543803105772;59.01385,7.91678874890126;119.05024,58.5994726047466;121.06589,17.6208614122473;131.05024,7.75271022560797;133.06589,26.2291239378846;135.08154,9.8505713448579;201.09325,12.4758277175505;215.1089,7.86990917081746;305.15585,5.38529153237621;319.13511,9.17667740990331;319.1715,7.78200996191034;391.15624,17.345443891005",124-94-7,EPAPLT0065,DTXSID1040742,,
Carminic acid,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,C22H20O13,492.0903907,492.4,-1.286,"447.09219,18.605866976474;457.07654,38.0133604414755;475.0871,100;61.02841,44.8271855939588;85.02841,9.46267789718269;123.06519,10.8103398199245;145.04954,4.72843450479233;163.0601,3.09032820214929;287.05501,4.04879465582341;313.03428,25.1002033110659;315.04993,8.06273598605867;323.01863,23.9674702294511;325.03428,69.2128957304676;327.04993,33.1919837351147;331.04484,4.67034562881208;341.02919,23.9907057798432;343.04484,50.9497531222771;355.04484,8.95149578855649;357.02411,3.42143479523671;357.06049,14.3421434795237;359.03976,21.858844031368;373.05541,4.42637234969503;403.06597,15.341272146384;429.08162,8.1150159744409;431.09727,7.08684286959047;433.07654,13.6683125181528;445.07654,3.55503920999129;449.10784,3.28783038048214;45.03349,11.4493174557072;73.02841,31.4609352309033;75.04406,18.2108626198083;87.04406,13.7786813825152;89.05971,7.45861167586407;133.04954,6.03543421434795;143.03389,8.78303804821377;207.0288,6.8602962532675;261.03936,7.76648271855939;315.07106,6.66860296253268;339.01354,5.87859424920128;359.07614,5.83212314841708;379.10236,10.8858553586988;381.08162,5.30351437699681;391.06597,11.0426953238455;405.08162,8.38803369154807;465.10275,12.2218995062446;0.028669,0.0162863781585826","341.03029,40.6439544243524;343.04594,65.1890482398957;371.04086,29.5731534493509;401.05142,16.217901479508;429.08272,82.1155263307069;433.07763,46.0461425089281;447.09329,13.8937701944334;473.07255,38.6089223966895;0.5929,0.323400034011677;59.01385,61.8218921829828;283.02481,41.0180828751205;285.04046,61.4194206677626;297.04046,78.7653761124653;313.03538,30.0379797063658;327.05103,23.3376792698827;329.03029,100;355.04594,12.8734198741568;357.02521,13.3892636471855;375.07216,10.1638229125333;387.03577,6.02573550252253;403.06707,23.1449464316082;405.08272,20.1632560512443;415.06707,9.94841562269713;445.07763,9.63664191372371;455.06198,12.8847570999376;41.00329,43.9770988039227;43.01894,17.816450314608;55.01894,15.2315628365739;73.0295,9.48925797857264;117.01933,6.17878805056403;203.05611,5.63460121308316;231.0299,6.38852672750978;261.04046,5.41919392324698;311.01973,15.1975511592313;355.00956,5.28881582676719;463.0882,9.10946091491412;0.00033353,0.000159327702511196",1260-17-9,EPAPLT0060,DTXSID9022817,,
"2-(Hydroxymethyl)-2-nitro-1,3-propanediol",C(C(CO)(CO)[N+](=O)[O-])O,C4H9NO5,151.0480724,151.12,-2.155,"105.04204,87.4042829331603;106.04987,45.7300454250487;123.05261,52.2647631408176;133.03696,76.1518494484101;75.04406,25.6327060350422;87.04406,100;103.02639,34.7566515249838;104.03422,93.2576249188838;105.05462,13.530175210902;31.01784,13.8935756002596;73.02841,14.3997404282933;90.01857,11.1615833874108;102.01857,15.9117456197274","0,100;",126-11-4,EPAPLT0062,DTXSID8027034,,
Sucrose octaacetate,CC(=O)OCC1C(C(C(C(O1)OC2(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,C28H38O19,678.200729,678.6,0.069,"271.08123,83.4628422425033;275.11253,14.5084745762712;331.10236,29.7731421121252;559.16575,39.728813559322;619.18688,100;637.19744,74.2842242503259;0.053944,0.0199817470664928;661.19744,76.7092568448501;43.01784,35.0352020860495;99.04406,31.4159061277705;145.04954,28.3233376792699;257.06558,11.6870925684485;259.08123,19.5202086049544;287.07614,16.1668839634941;289.09179,41.0221642764016;533.1501,9.30899608865711;535.16575,8.90743155149935;537.1814,7.99478487614081;543.13445,9.03780964797914;547.16575,35.5671447196871;563.16066,17.3976531942634;565.17631,10.1173402868318;575.16066,17.6792698826597;577.17631,31.155149934811;593.17123,12.3441981747066;595.18688,17.9139504563233;605.17123,29.4810951760104;607.18688,34.6492829204694;617.17123,16.135593220339;635.18179,17.8461538461538;97.02841,13.9765319426336;147.06519,10.2059973924381;155.03389,8.02607561929596;175.0601,7.99478487614081;177.07575,6.9361147327249;247.08123,10.0443285528031;249.09688,5.57496740547588;261.09688,10.5189048239896;269.06558,20.9908735332464;273.09688,24.1251629726206;291.10744,28.4954367666232;333.11801,10.9048239895698;347.09727,4.83963494132986;349.11292,17.22555410691;503.13953,5.95567144719687;505.15518,12.9178617992177;521.1501,12.9543676662321","59.01385,100;287.07724,19.5399350094065;325.05651,4.78878057123311;531.13554,4.87001881306653;543.13554,5.25483153754062;545.15119,22.267829656234;0.55271,0.230442962202839;557.15119,6.11424662219942;561.14611,3.73268342739867;575.16176,48.8541132204549;603.15667,5.16504190183;605.17232,14.2637249871729;615.15667,4.08756627330255;617.17232,11.9505729433898;635.18289,20.745681546092;41.00329,14.9008038310245;99.00877,1.22712502137848;257.06668,1.21857362750128;259.08233,3.06139900803831;271.08233,5.5840602018129;289.09289,4.69899093552249;331.10346,1.25705489994869;505.15628,1.49649392851035;519.13554,2.46280143663417;533.15119,1.13305968872926;563.16176,1.18009235505387;591.15667,4.39541645288182;593.17232,1.75303574482641;131.03498,2.18488113562511;175.0612,1.65897041217718;227.05611,1.83854968359843;229.07176,1.76158713870361;273.06159,2.23618949888832;301.09289,2.74072173764324;303.07216,1.52214811014195;305.08781,2.01812895501967;447.11441,1.38105011116812;449.13006,1.22284932443988;661.16215,1.21002223362408",126-14-7,EPAPLT0070,DTXSID3042423,,
Triflusulfuron-methyl,CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,C17H19F3N6O6S,492.103888,492.4,1.037,"264.07029,100;461.08495,35.0275721956175;262.05464,6.51937309534175;266.08594,21.9235234363663;343.04308,2.16224060368597;345.05873,1.13553910898273;57.04472,5.75025395443332;65.03858,12.6940937454651;67.05423,14.1887969815702;69.00834,7.20867798577855;69.04472,11.9286025250327;71.06037,21.4918008997243;91.05423,4.37890001451168;139.06144,5.23508924684371;141.07709,8.69612538093165;154.07234,4.92671600638514;166.07234,6.70439703961689;168.08799,4.13220142214483;180.0516,4.63648236830649;182.06725,11.6637643302859;196.06922,11.6637643302859;221.02809,9.0081265418662;221.06447,11.417065737919;222.05972,29.4333188216514;223.04374,6.83500217675229;236.07537,6.76607168770861;238.09102,11.9503700478885;244.06406,9.83166448991438;246.07971,14.3012625163256;250.05464,36.2792047598317;359.07439,4.74531998258598;368.10232,4.38252793498766;0.026878,0.00377811638368887","77.96552,47.7288304567263;79.98117,53.4612748457848;236.07647,100;383.07548,12.1253660664216;407.07548,13.8450993831391;409.09113,15.1099756994205;99.00632,7.73256900741479;138.07852,10.5676366128731;170.02812,22.7116954327372;193.03427,16.860863605209;216.07024,78.3537915134899;220.04517,86.8278397407938;41.01452,5.30874197769331;49.00837,4.65449560720294;63.02402,3.20892267430993;75.02402,3.76970527758739;111.06762,3.42700479780672;144.01247,2.72914200261699;146.02812,2.8226057698299;149.0608,5.22774004610879;153.00157,3.53293040064802;161.98665,5.40220574490622;166.02337,2.64190915321827;209.02918,2.75406567387376;222.06082,3.28369368808025;228.0336,3.60770141441834;259.07605,2.78522026294473;367.04418,7.81980185681351;413.0849,2.97837871518475;473.08605,2.72291108480279",126535-15-7,NA,NA,,
Tributyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,C12H27O4P,266.1646963,266.31,3.36,"211.10937,30.5574267430111;153.03112,9.8518019535197;155.04677,100;57.06988,84.2034355001684;59.08553,14.8534860222297;137.03621,8.62243179521725","191.08425,1.01;207.07917,13.41;209.09482,30.3;135.02165,100;137.0373,14.05;151.01657,41.11;153.03222,20.43",126-73-8,EPAPLT0065,DTXSID3021986,,
Fenhexamid,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,C14H17Cl2NO2,301.0636342,302.2,3.582,"97.10118,100;99.11683,9.58248672740381;125.09609,8.47479845316904;274.03961,4.50940551877827;300.05526,4.90266762797405;55.05423,39.8571147669922;57.06988,10.2575866815232;69.06988,10.6377400537458;81.06988,9.24165956610081;93.06988,5.99069279674903;95.08553,8.65176640230714","264.07968,100;34.9694,81.9987585350714;95.08662,3.04158907510863;142.00652,16.5597627422581;170.00143,37.6163873370577;172.01708,10.2489826884613;175.96754,2.00013794054762;204.103,10.6834954134768;0.082652,0.0319187530174495;41.99854,27.3122284295469;91.05532,9.61445616939099;93.07097,7.63500931098696;97.10227,9.22132560866267;139.99086,5.99351679426167;144.02217,5.24174080971101;162.09244,5.88316435616249;164.10809,15.0217256362508;167.98578,44.3547830884889;194.00143,4.73825781088351;196.01708,6.59355817642596;201.94681,10.0903510586937;243.99376,7.19359955859025;246.00941,6.3935443823712;248.04838,68.7012897441203;0.025773,0.0109655838333678;266.01449,7.41430443478861;284.02506,12.4353403683013;298.04071,24.0982136699083",126833-17-8,EPAPLT0065,DTXSID3032549,,
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",CC(C)CC(C)(C#CC(C)(CC(C)C)O)O,C14H26O2,226.1932801,226.35,3.262,"43.05423,59.3620398341099;83.08553,16.0411653269162;109.10118,100;111.11683,17.3211817111259;125.09609,11.8375915211715;153.12739,34.2634785725257;191.17943,15.8261225743689;209.18999,54.6618196712918;95.08553,8.34058675951052;107.08553,19.7839332343454;41.03858,24.023347498848;57.06988,15.4523577901797;67.01784,6.25160002048026;69.03349,4.69510009728125;81.06988,8.45322820132098;97.06479,5.55527110747018","223.17035,20.6307129798903;151.11284,95.7495429616088;207.17544,100;79.05532,32.8976234003656;97.06589,44.3053016453382;99.08154,21.709323583181;101.09719,33.5283363802559;107.08662,17.8610603290676;109.10227,32.6416819012797;149.09719,19.7166361974406;151.07645,22.8153564899452;153.0921,67.4223034734918;167.10775,21.4899451553931;169.1234,67.3400365630713;181.1234,20.4021937842779;191.14414,50.8135283363803;209.1547,49.835466179159",126-86-3,EPAPLT0063,DTXSID7027041,,
Hydroxyurea,C(=O)(N)NO,CH4N2O2,76.02727738,76.055,-1.606,"44.01309,100;60.008,4.36964865662828","41.99854,100;57.99345,1.89333333333333;44.01419,0.126666666666667",127-07-1,EPAPLT0068,DTXSID6025438,,
