Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
Deisopropylatrazine,CCNC1=NC(=NC(=N1)N)Cl,C5H8ClN5,173.046823,173.6,-0.591,"146.0228,100;104.001,46.6357624923308;132.0323,5.7195446179017;157.02755,5.5627513804622;43.02907,68.1709727997819;54.03383,8.78723839389188;61.9792,16.7359738223464;63.99485,15.7611289113096;68.02432,17.7108187333833;69.04472,5.41277524030268;70.03997,12.48892221692;71.06037,19.8241188901766;79.00575,10.7232940214057;85.05087,8.16688254141387;88.9901,7.09659826845729;96.05562,7.44427022973618;128.99625,10.0211330015679;131.0119,8.48728611357284","128.99735,12.6424941628897;130.01775,4.12718033237193;34.9694,91.5533580552122;41.01452,100;66.00977,12.1274550199148;67.03017,6.80538387584123;101.98645,14.8468616948221;111.06762,7.33415739596209;136.06287,10.7608844938882;144.00825,56.9289932701552",1007-28-9,EPAPLT0062,DTXSID0037495,,
Methenamine,C1N2CN3CN1CN(C2)C3,C6H12N4,140.1061964,140.19,-0.186,"0,100;","0,100;",100-97-0,EPAPLT0061,DTXSID6020692,,
Triphenyl phosphite,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,C18H15O3P,310.0758813,310.3,3.45,"217.04129,44.24;77.03858,100;79.05423,13.05;235.05186,6.87","93.03459,100;63.02402,12.4129559828787;233.0373,52.9227624097617;257.0373,63.8855171532614",101-02-0,EPAPLT0068,DTXSID0026252,,
Anilazine,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,C9H5Cl3N4,273.957979,275.5,1.528,"224.94961,0.01;190.98858,100;86.97445,27.16;98.9996,6.05;116.001,10.79;122.95113,5.82;127.00575,12.6;128.001,9.63;130.01665,86.81;153.0214,13.13;164.001,72.28;178.01665,10.39;187.97768,6.42;188.97293,100;213.99333,6.18;222.93396,8.34;248.94961,12.73","151.00685,100;34.9694,7.09554486888667;65.01452,10.0353869884765;176.0021,6.56020324834407",101-05-3,EPAPLT0068,DTXSID9020089,,
Cloprop,CC(C(=O)O)OC1=CC(=CC=C1)Cl,C9H9ClO3,200.0240218,200.62,1.541,"129.01017,100;155.02582,26.662491682649;55.01784,3.42087752945321;101.01525,27.1243492896004;43.01784,36.7959607029629;45.03349,39.1404751653685;69.03349,10.0786723550824;98.9996,19.2297154487455;105.03349,5.68319699401151;110.9996,19.2023171161298;113.01525,13.5073779795687;119.04914,29.4297232768406;126.99452,9.56201808289952","126.99562,100;34.9694,20.6166666666667;65.00329,6.65333333333333",101-10-0,EPAPLT0069,DTXSID9034232,2-(m-Chlorophenoxy)propionic acid,101-10-0
Tribenuron-methyl,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,C15H17N5O6S,395.0899545,395.4,-1.427,"155.09274,100;181.072,85.9683313032887;364.07102,81.2180267965895;58.02874,37.3507917174178;105.03349,6.86967113276492;124.05054,20.931790499391;126.06619,16.7235079171742;139.06144,66.4068209500609;153.07709,31.6686967113277;209.98556,12.9354445797808;212.00121,13.3982947624848;214.01686,6.31546894031669;241.02775,6.69914738124239;51.02293,16.8026796589525;53.03858,2.9415347137637;63.02293,6.49208282582217;65.03858,2.3142509135201;77.00219,1.74786845310597;79.01784,5.2679658952497;81.04472,5.94397076735688;83.06037,1.79658952496955;84.04439,2.59439707673569;96.05562,8.10596833130329;98.07127,11.047503045067;99.05529,3.39829476248478;114.06619,1.92448233861145;123.06652,5.95006090133983;128.08184,3.24604141291108;135.04406,2.70401948842875;141.00048,4.12302070645554;151.06144,2.77710109622412;199.00596,1.94275274056029;298.04922,1.88794153471376;337.06012,2.9415347137637;339.07577,3.68453105968331;341.09142,2.53958587088916;355.07068,3.48355663824604","209.98665,5.1595259799453;239.99722,3.3606806441811;121.05197,17.739288969918;137.04688,89.8328775448192;141.00157,17.7939835916135;153.07818,100;156.01247,32.0388939532057;184.00739,41.7866909753874;186.02304,40.7353388027955;211.01829,24.8617441507141;213.03394,46.9401397751443;214.01795,20.0182315405652;306.06663,7.81525372227286;336.0772,17.3260407171073;40.01927,7.25615314494075;56.01419,4.40595563658462;58.02984,3.56122759039806;65.01452,15.4725007596475;67.03017,15.1686417502279;77.03967,12.4582193862048;94.04107,3.78000607718019;96.05672,5.9860224855667;110.03599,9.07323002127013;114.98592,7.20753570343361;117.00157,3.21482831965968;121.0295,4.102096627165;124.05164,40.34032209055;126.06729,8.77544819203889;128.08294,7.14068672136129;151.06253,25.9920996657551;153.96044,4.98936493467031;155.97609,11.4676390154968;187.01829,3.37283500455788;225.98157,4.37556973564266;238.02919,3.76177453661501;253.04008,8.14342145244606;255.05573,3.33637192342753;279.05573,3.37283500455788;294.03025,5.17168034032209;296.0459,7.27438468550593;337.06121,12.8836219993923",101200-48-0,NA,NA,,
Triclocarban,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,C13H9Cl3N2O,313.978046,315.6,2.451,"161.98718,100;159.97153,25.9863851069742;187.96645,84.697138093915;65.99744,10.0514031675465;68.01309,11.7532647957766;78.03383,15.9905529313698;98.9996,30.1750486246179;120.96063,12.1561544873576;126.0105,62.7188107807724;128.02615,19.8666296193387;132.96063,69.4637399277577;154.00542,30.1750486246179;181.01632,16.6574048346763;193.01632,7.67574326201723;198.98243,6.11975548763545;205.01632,8.84968046679633;208.96678,6.35593220338983;216.99299,8.88441233676021;226.97734,16.4837454848569;228.99299,9.21783828841345;252.99299,6.65462628507919;296.97476,14.0872464573493","159.97263,100;126.0116,56.98;185.95189,9.76;34.9694,2.62333333333333;50.00362,3.11;52.01927,2.64;76.01927,4.48333333333333;286.95512,5.01666666666667",101-20-2,EPAPLT0067,DTXSID4026214,,
Chlorpropham,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,C10H12ClNO2,213.0556563,213.66,2.026,"128.02615,100;172.01598,27.7766666666667;126.0105,15.23;43.05423,2.75333333333333;86.02365,3.90333333333333;98.9996,14.9266666666667;101.01525,7.01666666666667;110.9996,5.15;113.01525,3.31666666666667;120.04439,2.88333333333333;154.00542,15.0666666666667;212.04728,2.49666666666667","59.05024,25.9021688970928;151.99086,100;34.9694,42.0766035994462;57.03459,21.7997231195201;126.0116,20.6645131518228;41.99854,46.1467466543609",101-21-3,EPAPLT0060,DTXSID7020764,,
"N-Phenyl-1,4-benzenediamine",C1=CC=C(C=C1)NC2=CC=C(C=C2)N,C12H12N2,184.1000484,184.24,1.191,"133.07602,37.3;183.09167,62.82;63.02293,36.52;65.03858,19.93;77.03858,100;80.04948,13.28;94.06513,40.03;104.04948,24.22;119.06037,35.02;128.04948,25.6;130.06513,15.3;132.08078,36.39;143.06037,15.89;159.09167,15.11","157.07712,0.53;153.04582,64.69;64.01927,19.1;92.05057,100;104.05057,27.87;105.04582,13.37;107.06147,14.86;116.05057,63.09;129.04582,21.2;130.06622,20.13;131.06147,25.04;155.06147,22.86;164.05057,14.8",101-54-2,EPAPLT0063,DTXSID7025895,,
p-Bromodiphenyl ether,C1=CC=C(C=C1)OC2=CC=C(C=C2)Br,C12H9BrO,247.98368,249.1,2.705,"194.944,37.32;196.95965,51.66;51.02293,61.99;75.02293,52.19;143.04914,26.37;156.96474,54.5;172.95965,49.39;182.944,26.56;184.95965,30.26;208.95965,55.5;218.944,100;220.95965,49.13;222.9753,55.81;232.95965,56.86;246.9753,34.17","220.96075,0.934652231482203;117.03459,100;63.02402,24.1451826466236;65.00329,33.6085364903809;67.01894,20.4143624892904;91.01894,30.4229301347457;170.9451,14.0431497780201",101-55-3,EPAPLT0064,DTXSID8023927,,
